data;

# Nodes: 25, Edges: 63

set SNodes := A B C D E F G H I J K L M N O P Q R S T U V W X Y ;

param cpuSup := 
A 84.0189
B 96.7211
C 96.3771
D 70.4441
E 74.1324
F 50.8933
G 56.7336
H 73.9554
I 90.1193
J 70.2958
K 76.9287
L 77.2241
M 70.1951
N 69.3722
O 75.0732
P 58.3794
Q 53.7571
R 83.589
S 99.2403
T 76.8915
U 56.9218
V 73.0445
W 67.413
X 81.2156
Y 65.0383
;

param secSupNode := 
A 1.2
B 1.2
C 1.2
D 1.2
E 1.2
F 1.2
G 1.1
H 1.2
I 1.1
J 1.0
K 1.2
L 1.1
M 1.1
N 1.2
O 1.2
P 1.1
Q 1.2
R 1.2
S 1.1
T 1.2
U 1.1
V 1.1
W 1.2
X 1.2
Y 1.2
;

param bwSup:
  A B C D E F G H I J K L M N O P Q R S T U V W X Y :=
A 0 0 0 0 0 0 0 0 0 0 0 0 0 0 80.564 68.013 0 0 0 90.3971 0 67.178 0 0 0 
B 0 0 0 0 78.6056 0 0 0 0 0 0 0 52.3708 0 0 0 90.817 0 50.698 0 0 0 0 0 0 
C 0 0 0 0 0 0 0 0 61.0248 0 0 0 0 0 0 0 55.3838 0 0 0 0 0 0 77.0263 0 
D 0 0 0 0 0 0 0 0 0 0 0 83.4954 89.5129 0 77.054 69.1559 0 0 0 0 0 0 0 0 0 
E 0 78.6056 0 0 0 59.2544 0 0 0 0 83.0614 0 57.8067 0 0 0 0 0 0 0 0 94.5997 0 0 0 
F 0 0 0 0 59.2544 0 57.8989 92.8119 86.1455 0 0 0 0 0 92.5717 93.4678 0 0 0 57.7393 0 53.4124 0 0 0 
G 0 0 0 0 0 57.8989 0 0 0 0 0 0 0 0 63.791 0 0 59.1423 0 90.2391 0 87.7658 70.5225 0 0 
H 0 0 0 0 0 92.8119 0 0 64.367 0 0 0 0 0 0 90.9316 0 0 0 0 64.867 0 71.2135 0 0 
I 0 0 61.0248 0 0 86.1455 0 64.367 0 0 0 0 0 0 0 0 0 0 0 50.6399 0 0 0 0 0 
J 0 0 0 0 0 0 0 0 0 0 0 0 89.2085 0 0 0 59.0077 97.1495 0 0 96.4966 0 0 0 0 
K 0 0 0 0 83.0614 0 0 0 0 0 0 0 65.5663 0 52.4255 0 0 0 0 0 0 0 95.9274 65.1568 0 
L 0 0 0 83.4954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 95.3228 0 0 
M 0 52.3708 0 89.5129 57.8067 0 0 0 0 89.2085 65.5663 0 0 0 0 0 0 0 55.1372 0 0 89.5612 0 0 94.0457 
N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82.018 0 0 99.2336 0 0 99.3837 0 0 0 
O 80.564 0 0 77.054 0 92.5717 63.791 0 0 0 52.4255 0 0 0 0 95.2804 97.2408 0 0 0 0 0 0 0 0 
P 68.013 0 0 69.1559 0 93.4678 0 90.9316 0 0 0 0 0 82.018 95.2804 0 0 97.9792 0 0 0 0 0 0 0 
Q 0 90.817 55.3838 0 0 0 0 0 0 59.0077 0 0 0 0 97.2408 0 0 53.1689 0 0 0 0 76.7055 0 69.7532 
R 0 0 0 0 0 0 59.1423 0 0 97.1495 0 0 0 0 0 97.9792 53.1689 0 0 0 0 0 0 84.2835 0 
S 0 50.698 0 0 0 0 0 0 0 0 0 0 55.1372 99.2336 0 0 0 0 0 0 0 0 0 0 95.4664 
T 90.3971 0 0 0 0 57.7393 90.2391 0 50.6399 0 0 0 0 0 0 0 0 0 0 0 0 51.2059 0 89.1251 0 
U 0 0 0 0 0 0 0 64.867 0 96.4966 0 0 0 0 0 0 0 0 0 0 0 0 50.4229 0 0 
V 67.178 0 0 0 94.5997 53.4124 87.7658 0 0 0 0 0 89.5612 99.3837 0 0 0 0 0 51.2059 0 0 85.7697 0 0 
W 0 0 0 0 0 0 70.5225 71.2135 0 0 95.9274 95.3228 0 0 0 0 76.7055 0 0 0 50.4229 85.7697 0 0 0 
X 0 0 77.0263 0 0 0 0 0 0 0 65.1568 0 0 0 0 0 0 84.2835 0 89.1251 0 0 0 0 0 
Y 0 0 0 0 0 0 0 0 0 0 0 0 94.0457 0 0 0 69.7532 0 95.4664 0 0 0 0 0 0 
;

param secSupEdge :
  A B C D E F G H I J K L M N O P Q R S T U V W X Y :=
A 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2 1.1 0 0 0 1.1 0 1.2 0 0 0 
B 0 0 0 0 1.1 0 0 0 0 0 0 0 1.1 0 0 0 1.1 0 1.2 0 0 0 0 0 0 
C 0 0 0 0 0 0 0 0 1.1 0 0 0 0 0 0 0 1.2 0 0 0 0 0 0 1.1 0 
D 0 0 0 0 0 0 0 0 0 0 0 1.2 1.2 0 1.2 1.1 0 0 0 0 0 0 0 0 0 
E 0 1.1 0 0 0 1.2 0 0 0 0 1.1 0 1.1 0 0 0 0 0 0 0 0 1.2 0 0 0 
F 0 0 0 0 1.2 0 1.0 1.2 1.1 0 0 0 0 0 1.2 1.2 0 0 0 1.2 0 1.2 0 0 0 
G 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 1.1 0 0 1.2 0 1.2 0 1.2 1.1 0 0 
H 0 0 0 0 0 1.2 0 0 1.2 0 0 0 0 0 0 1.1 0 0 0 0 1.1 0 1.1 0 0 
I 0 0 1.1 0 0 1.1 0 1.2 0 0 0 0 0 0 0 0 0 0 0 1.1 0 0 0 0 0 
J 0 0 0 0 0 0 0 0 0 0 0 0 1.1 0 0 0 1.1 1.1 0 0 1.2 0 0 0 0 
K 0 0 0 0 1.1 0 0 0 0 0 0 0 1.2 0 1.0 0 0 0 0 0 0 0 1.1 1.2 0 
L 0 0 0 1.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2 0 0 
M 0 1.1 0 1.2 1.1 0 0 0 0 1.1 1.2 0 0 0 0 0 0 0 1.2 0 0 1.1 0 0 1.1 
N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2 0 0 1.2 0 0 1.1 0 0 0 
O 1.2 0 0 1.2 0 1.2 1.1 0 0 0 1.0 0 0 0 0 1.2 1.1 0 0 0 0 0 0 0 0 
P 1.1 0 0 1.1 0 1.2 0 1.1 0 0 0 0 0 1.2 1.2 0 0 1.2 0 0 0 0 0 0 0 
Q 0 1.1 1.2 0 0 0 0 0 0 1.1 0 0 0 0 1.1 0 0 1.2 0 0 0 0 1.2 0 1.1 
R 0 0 0 0 0 0 1.2 0 0 1.1 0 0 0 0 0 1.2 1.2 0 0 0 0 0 0 1.1 0 
S 0 1.2 0 0 0 0 0 0 0 0 0 0 1.2 1.2 0 0 0 0 0 0 0 0 0 0 1.2 
T 1.1 0 0 0 0 1.2 1.2 0 1.1 0 0 0 0 0 0 0 0 0 0 0 0 1.2 0 1.2 0 
U 0 0 0 0 0 0 0 1.1 0 1.2 0 0 0 0 0 0 0 0 0 0 0 0 1.2 0 0 
V 1.2 0 0 0 1.2 1.2 1.2 0 0 0 0 0 1.1 1.1 0 0 0 0 0 1.2 0 0 1.1 0 0 
